Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,125781957,1611.2855670528381,3742991,47.948271117364435,612369,2759432,35.348734118230865,63192,0.8094989136892099,10590,
United States of America,Americas,29787178,8999.08,410790,124.1,68248,541708,163.66,7224,2.18,1388,Community transmission
Brazil,Americas,12320169,5796.11,539349,253.74,100158,303462,142.77,15963,7.51,2777,Community transmission
India,South-East Asia,11908910,862.96,353626,25.62,62258,161240,11.68,1682,0.12,291,Clusters of cases
Russian Federation,Europe,4510744,3090.94,63174,43.29,8885,97404,66.75,2745,1.88,387,Clusters of cases
France,Europe,4393375,6730.72,247204,378.72,41869,93728,143.59,2299,3.52,897,Community transmission
The United Kingdom,Europe,4325319,6371.44,39631,58.38,6187,126515,186.36,489,0.72,70,Community transmission
Italy,Europe,3488619,5769.95,156201,258.35,24076,107256,177.39,3015,4.99,457,Clusters of cases
Spain,Europe,3247738,6946.32,24609,52.63,0,74420,159.17,225,0.48,0,Community transmission
Turkey,Europe,3149094,3733.85,177461,210.41,29081,30772,36.49,908,1.08,153,Community transmission
Germany,Europe,2755225,3288.49,109442,130.62,20472,75780,90.45,1215,1.45,157,Community transmission
Colombia,Americas,2359942,4637.99,40649,79.89,6732,62519,122.87,883,1.74,125,Community transmission
Argentina,Americas,2278115,5040.55,51362,113.64,8238,55092,121.9,706,1.56,146,Community transmission
Poland,Europe,2221725,5870.34,185025,488.88,31759,51753,136.74,2594,6.85,448,Community transmission
Mexico,Americas,2214542,1717.59,32354,25.09,5787,200211,155.28,3605,2.8,584,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1838803,2189.23,52538,62.55,7980,62223,74.08,574,0.68,81,Community transmission
Ukraine,Europe,1632131,3731.97,96913,221.6,17424,31751,72.6,1976,4.52,290,Community transmission
South Africa,Africa,1543079,2601.78,7656,12.91,1516,52602,88.69,567,0.96,67,Community transmission
Czechia,Europe,1511021,14109.85,51615,481.98,7714,25778,240.71,1248,11.65,139,Community transmission
Peru,Americas,1500465,4550.75,56944,172.7,7946,50831,154.16,1125,3.41,175,Community transmission
Indonesia,South-East Asia,1487541,543.84,37409,13.68,4982,40166,14.68,827,0.3,85,Community transmission
Netherlands,Europe,1236209,7214.58,49479,288.76,7644,16421,95.83,178,1.04,25,Community transmission
Chile,Americas,962327,5034.09,44274,231.6,7565,22587,118.16,500,2.62,63,Community transmission
Canada,Americas,951562,2521.22,28714,76.08,5192,22790,60.38,200,0.53,31,Community transmission
Romania,Europe,926310,4815.08,39558,205.63,6516,22835,118.7,815,4.24,116,Community transmission
Belgium,Europe,860731,7426.74,24649,212.68,2,22852,197.18,171,1.48,6,Community transmission
Israel,Europe,831084,9601.76,5089,58.79,832,6165,71.23,92,1.06,8,Community transmission
Iraq,Eastern Mediterranean,822095,2043.87,37379,92.93,6490,14157,35.2,220,0.55,29,Community transmission
Portugal,Europe,819698,8038.85,3075,30.16,488,16819,164.95,65,0.64,5,Clusters of cases
Sweden,Europe,780018,7723.51,35799,354.47,6356,13402,132.7,37,0.37,1,Community transmission
Philippines,Western Pacific,702856,641.4,54799,50.01,9838,13149,12,249,0.23,54,Community transmission
Pakistan,Eastern Mediterranean,645356,292.16,26097,11.81,4368,14091,6.38,334,0.15,63,Community transmission
Hungary,Europe,624779,6467.46,63808,660.51,10167,19752,204.46,1684,17.43,253,Community transmission
Switzerland,Europe,589486,6811.23,9504,109.81,11,9577,110.66,35,0.4,0,Community transmission
Bangladesh,South-East Asia,588132,357.12,21294,12.93,3737,8830,5.36,188,0.11,33,Community transmission
Jordan,Eastern Mediterranean,577734,5662.32,56273,551.53,6444,6374,62.47,673,6.6,97,Community transmission
Serbia,Europe,577120,8287.47,34911,501.32,5225,5114,73.44,245,3.52,39,Community transmission
Austria,Europe,526948,5850.82,22255,247.1,3487,8968,99.57,173,1.92,24,Community transmission
Morocco,Eastern Mediterranean,493867,1338.01,2848,7.72,514,8793,23.82,38,0.1,5,Clusters of cases
Japan,Western Pacific,464866,367.55,10708,8.47,2026,8998,7.11,208,0.16,31,Clusters of cases
Lebanon,Eastern Mediterranean,455381,6671.81,21059,308.54,3100,6013,88.1,349,5.11,49,Community transmission
United Arab Emirates,Eastern Mediterranean,450765,4557.6,14140,142.97,2128,1472,14.88,44,0.44,6,Community transmission
Saudi Arabia,Eastern Mediterranean,387292,1112.46,3021,8.68,510,6637,19.06,41,0.12,7,Sporadic cases
Slovakia,Europe,356985,6538.62,9041,165.6,1531,9426,172.65,448,8.21,53,Clusters of cases
Panama,Americas,352579,8171.45,3074,71.24,497,6073,140.75,48,1.11,8,Community transmission
Malaysia,Western Pacific,339443,1048.76,9401,29.05,1275,1249,3.86,24,0.07,1,Clusters of cases
Bulgaria,Europe,325233,4680.66,25294,364.02,4129,12601,181.35,669,9.63,89,Clusters of cases
Ecuador,Americas,321451,1821.97,11808,66.93,2795,16632,94.27,220,1.25,50,Community transmission
Belarus,Europe,316418,3348.58,8480,89.74,1425,2202,23.3,63,0.67,9,Community transmission
Kazakhstan,Europe,287515,1531.23,5717,30.45,0,3586,19.1,75,0.4,0,Clusters of cases
Georgia,Europe,279936,7017.4,2718,68.13,490,3746,93.9,55,1.38,8,Community transmission
Nepal,South-East Asia,276665,949.54,915,3.14,156,3024,10.38,8,0.03,4,Clusters of cases
Bolivia (Plurinational State of),Americas,267833,2294.46,4892,41.91,774,12131,103.92,103,0.88,24,Community transmission
Croatia,Europe,265901,6477.07,9096,221.57,1790,5872,143.04,119,2.9,18,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,261901,5133.89,14260,279.53,1511,2787,54.63,158,3.1,16,Community transmission
Azerbaijan,Europe,252680,2492.12,8377,82.62,1759,3445,33.98,120,1.18,24,Clusters of cases
Dominican Republic,Americas,251332,2316.87,2830,26.09,364,3298,30.4,36,0.33,3,Community transmission
Greece,Europe,249458,2393.33,16379,157.14,1466,7754,74.39,393,3.77,53,Community transmission
Tunisia,Eastern Mediterranean,248782,2105,4006,33.9,745,8684,73.48,178,1.51,21,Community transmission
Ireland,Europe,233327,4725.34,4021,81.43,569,4651,94.19,75,1.52,20,Community transmission
Denmark,Europe,226633,3912.73,5178,89.4,789,2411,41.62,14,0.24,2,Community transmission
Kuwait,Eastern Mediterranean,225980,5291.56,9394,219.97,1548,1270,29.74,60,1.4,12,Community transmission
Republic of Moldova,Europe,223986,5552.51,11418,283.05,1866,4731,117.28,230,5.7,29,Community transmission
Lithuania,Europe,213447,7840.72,4797,176.21,771,3539,130,75,2.76,10,Community transmission
Costa Rica,Americas,213438,4189.89,2005,39.36,0,2908,57.09,14,0.27,0,Community transmission
Slovenia,Europe,210787,10139.17,6303,303.18,1032,4296,206.64,28,1.35,1,Clusters of cases
Paraguay,Americas,202700,2841.91,14207,199.19,1877,3910,54.82,290,4.07,41,Community transmission
Egypt,Eastern Mediterranean,198681,194.15,4554,4.45,670,11804,11.53,292,0.29,36,Clusters of cases
Ethiopia,Africa,196621,171.03,12758,11.1,2097,2769,2.41,151,0.13,28,Community transmission
Guatemala,Americas,192133,1072.44,5393,30.1,926,6775,37.82,112,0.63,10,Community transmission
Armenia,Europe,189540,6396.37,6413,216.42,1094,3450,116.43,118,3.98,16,Community transmission
Honduras,Americas,185484,1872.7,4688,47.33,663,4527,45.71,125,1.26,21,Community transmission
Qatar,Eastern Mediterranean,176521,6126.96,3824,132.73,602,282,9.79,11,0.38,1,Community transmission
Nigeria,Africa,162388,78.78,849,0.41,210,2039,0.99,12,0.01,8,Community transmission
Bosnia and Herzegovina,Europe,162032,4938.77,10695,325.99,1869,6220,189.59,447,13.62,76,Community transmission
Libya,Eastern Mediterranean,156116,2272,5775,84.05,884,2602,37.87,115,1.67,11,Community transmission
Venezuela (Bolivarian Republic of),Americas,154165,542.15,5957,20.95,850,1532,5.39,65,0.23,11,Community transmission
Oman,Eastern Mediterranean,153838,3012.52,4703,92.1,0,1650,32.31,30,0.59,0,Community transmission
Myanmar,South-East Asia,142359,261.64,147,0.27,19,3206,5.89,2,0,1,Clusters of cases
Bahrain,Eastern Mediterranean,139953,8224.91,5443,319.88,829,512,30.09,19,1.12,4,Clusters of cases
Kenya,Africa,128178,238.38,9289,17.28,2008,2098,3.9,116,0.22,6,Community transmission
North Macedonia,Europe,124910,5995.55,7473,358.7,1419,3607,173.13,183,8.78,33,Community transmission
Albania,Europe,123216,4281.61,3194,110.99,449,2192,76.17,70,2.43,8,Clusters of cases
Algeria,Africa,116657,266.03,687,1.57,114,3074,7.01,21,0.05,3,Community transmission
Puerto Rico,Americas,105226,3678.13,1547,54.07,260,2106,73.61,17,0.59,3,Community transmission
Estonia,Europe,102738,7744.84,8710,656.6,1151,847,63.85,67,5.05,0,Clusters of cases
China,Western Pacific,102659,6.98,157,0.01,24,4851,0.33,2,0,1,Clusters of cases
Republic of Korea,Western Pacific,101275,197.54,3074,6,505,1721,3.36,28,0.05,5,Clusters of cases
Latvia,Europe,100114,5307.71,3590,190.33,638,1867,98.98,56,2.97,3,Community transmission
